stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\keli_\OneDrive\Área de Trabalho\Projeto-Manhattan\x64\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.77700] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.77712] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.77726] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.77746] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.77765] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.77786] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.77801] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.77812] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.77824] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.77861] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.77878] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.77889] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.77906] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.77918] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.77929] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.77950] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.77970] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.77992] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.78002] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.78014] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.78025] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.78040] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.78050] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.78064] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.78337] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.78358] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.78376] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.78412] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.78448] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.78462] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.78477] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.78493] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.78526] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.78594] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.78652] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.78725] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.78769] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.78783] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.78809] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.78824] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.78861] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.78891] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.79125] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.79175] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.79204] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.79221] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.79240] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.79260] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.79277] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.79293] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.79312] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.79327] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.79341] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.79357] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.79368] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.79382] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.79398] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.79412] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1677 d3d_create_display_internals     [   0.79436] Trying format 0.
d3d      I         d3d_disp.cpp:1353 d3d_display_thread_proc          [   0.79791] Chose a display format: 23
d3d      I         d3d_disp.cpp:1422 d3d_display_thread_proc          [   0.79875] Normal window.
d3d      I         d3d_disp.cpp:786  d3d_create_device                [   0.92199] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:848  d3d_create_device                [   1.24473] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:856  d3d_create_device                [   1.25236] Success
d3d      D         d3d_disp.cpp:1703 d3d_create_display_internals     [   1.25300] Resumed after wait.
d3d      I         d3d_disp.cpp:1736 d3d_create_display_internals     [   1.25357] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1767 d3d_create_display_internals     [   1.25436] Returning d3d_display: 00000283E64D60F0
d3d      D         d3d_disp.cpp:1792 d3d_create_display_locked        [   1.25460] al_display=00000283E64D60F0
d3d      D         d3d_disp.cpp:1793 d3d_create_display_locked        [   1.25474] al_display->vt=00000283E49D73A0
system   D            wsystem.c:834  maybe_parent_dir                 [   1.25599] Also searching C:\Users\keli_\OneDrive\Área de Trabalho\Projeto-Manhattan\x64\
system   D            wsystem.c:889  _al_win_safe_load_library        [   1.25670] PathFindOnPath found: C:\WINDOWS\system32\d3dx9_43.dll
system   D            wsystem.c:795  load_library_at_path             [   1.25688] Calling LoadLibrary C:\WINDOWS\system32\d3dx9_43.dll
system   I            wsystem.c:798  load_library_at_path             [   1.33454] Loaded C:\WINDOWS\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   1.36601] Module "d3dx9_43.dll" loaded.
dtor     D               dtor.c:196  _al_register_destructor          [   1.37550] added dtor for bitmap 00000283EBC08900, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.38037] added dtor for bitmap 00000283EBC08140, func 00007FFC006D118B
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   1.38956] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   1.39313] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   1.40611] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   1.41140] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   1.41553] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   1.41823] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   1.42410] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   1.42451] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   1.42526] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   1.42550] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   1.42575] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   1.42601] Found a format
d3d      I         d3d_disp.cpp:2388 d3d_create_bitmap                [   1.42630] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.42959] added dtor for bitmap 00000283EBC090C0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.43132] added dtor for sub_bitmap 00000283EBC092B0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.43153] added dtor for sub_bitmap 00000283EBC08AF0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.43376] added dtor for sub_bitmap 00000283EBC094A0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.43422] added dtor for sub_bitmap 00000283EBC09690, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.43455] added dtor for sub_bitmap 00000283EBC08CE0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.43471] added dtor for sub_bitmap 00000283EBCAD730, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.43484] added dtor for sub_bitmap 00000283EBCACD80, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.43499] added dtor for sub_bitmap 00000283EBCAC9A0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.43523] added dtor for sub_bitmap 00000283EBCABFF0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.43619] added dtor for sub_bitmap 00000283EBCACB90, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.43989] added dtor for sub_bitmap 00000283EBCACF70, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.44008] added dtor for sub_bitmap 00000283EBCAD160, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.44044] added dtor for sub_bitmap 00000283EBCAD350, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.44065] added dtor for sub_bitmap 00000283EBCAC3D0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.44078] added dtor for sub_bitmap 00000283EBCABC10, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.44139] added dtor for sub_bitmap 00000283EBCAD920, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.44160] added dtor for sub_bitmap 00000283EBCAD540, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.44178] added dtor for sub_bitmap 00000283EBCABE00, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.44196] added dtor for sub_bitmap 00000283EBCAC1E0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.44326] added dtor for sub_bitmap 00000283EBCAC7B0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.44351] added dtor for sub_bitmap 00000283EBCAC5C0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.44391] added dtor for sub_bitmap 00000283EBCB1190, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.44409] added dtor for sub_bitmap 00000283EBCB1570, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.44472] added dtor for sub_bitmap 00000283EBCB0DB0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.44491] added dtor for sub_bitmap 00000283EBCB1760, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.44504] added dtor for sub_bitmap 00000283EBCB1950, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.44517] added dtor for sub_bitmap 00000283EBCAFC40, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.44543] added dtor for sub_bitmap 00000283EBCB0400, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.44558] added dtor for sub_bitmap 00000283EBCAFE30, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.44573] added dtor for sub_bitmap 00000283EBCB05F0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.44613] added dtor for sub_bitmap 00000283EBCB0020, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.44854] added dtor for sub_bitmap 00000283EBCB09D0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.44909] added dtor for sub_bitmap 00000283EBCB0FA0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.45627] added dtor for sub_bitmap 00000283EBCB0210, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.46126] added dtor for sub_bitmap 00000283EBCB0BC0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.47125] added dtor for sub_bitmap 00000283EBCB1380, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.47151] added dtor for sub_bitmap 00000283EBCB07E0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.47170] added dtor for sub_bitmap 00000283EBCB3960, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.47327] added dtor for sub_bitmap 00000283EBCB3580, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.47389] added dtor for sub_bitmap 00000283EBCB2DC0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.47429] added dtor for sub_bitmap 00000283EBCB3770, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.47518] added dtor for sub_bitmap 00000283EBCB1C50, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.47580] added dtor for sub_bitmap 00000283EBCB1E40, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.47600] added dtor for sub_bitmap 00000283EBCB2600, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.47622] added dtor for sub_bitmap 00000283EBCB2030, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.47670] added dtor for sub_bitmap 00000283EBCB27F0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.48195] added dtor for sub_bitmap 00000283EBCB2220, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.48349] added dtor for sub_bitmap 00000283EBCB2BD0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.48369] added dtor for sub_bitmap 00000283EBCB2FB0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.48382] added dtor for sub_bitmap 00000283EBCB2410, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.48395] added dtor for sub_bitmap 00000283EBCB29E0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.48420] added dtor for sub_bitmap 00000283EBCB3390, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.48452] added dtor for sub_bitmap 00000283EBCB31A0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.48469] added dtor for sub_bitmap 00000283EBCB65A0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.48484] added dtor for sub_bitmap 00000283EBCB6790, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.48499] added dtor for sub_bitmap 00000283EBCB6980, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.48518] added dtor for sub_bitmap 00000283EBCB5FD0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.48551] added dtor for sub_bitmap 00000283EBCB5BF0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.48583] added dtor for sub_bitmap 00000283EBCB5DE0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.48762] added dtor for sub_bitmap 00000283EBCB5240, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.48778] added dtor for sub_bitmap 00000283EBCB4C70, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.48794] added dtor for sub_bitmap 00000283EBCB61C0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.48827] added dtor for sub_bitmap 00000283EBCB5430, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.48866] added dtor for sub_bitmap 00000283EBCB5620, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.48894] added dtor for sub_bitmap 00000283EBCB4E60, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.48982] added dtor for sub_bitmap 00000283EBCB5810, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.49003] added dtor for sub_bitmap 00000283EBCB5050, func 00007FFC006D118B
